blue,green,red,nir,swir1,swir2,blue_sd,green_sd,red_sd,nir_sd,swir1_sd,swir2_sd,NDWI,NDVI,NDTI,BR,GR,NBR,BG,MNDWI,pixelCount,clouds,pwater,qa,sat_5,sat_7,sat_8,type_Estuary,type_Facility,type_Lake,type_Stream,month_sin,month_cos,month_num
434.9999999999999,455.0,340.0,329.0,188.00000000000003,151.99999999999997,27.46027182905523,24.26800260452455,21.847686489847973,22.082123206097297,28.58853726250987,39.214881641396794,0.16071428571428573,-0.016442451420029897,-0.14465408805031446,1.279411764705882,1.338235294117647,0.7563218390804599,0.9560439560439558,0.4152410575427683,110,32.0,97.0,68.0,True,False,False,False,False,True,False,0.8660254037844387,-0.49999999999999983,4
793.1333333333334,920.0,388.00000000000006,278.0,226.99999999999997,180.0,95.1084191863104,140.04987433351158,103.75329457686117,70.316958538784,113.9440013076912,86.79575220637328,0.5358931552587646,-0.16516516516516525,-0.40672782874617736,2.0441580756013744,2.3711340206185563,0.3505085315625788,0.8621014492753625,0.6041848299912816,116,11.0,99.0,68.0,False,True,False,True,False,False,False,-0.4999999999999998,-0.8660254037844388,7
489.00000000000006,585.0,340.0,536.0,113.0,82.0,22.885549460073673,23.850540246108324,30.004833984459175,34.4400918575896,45.332673081335834,34.352865118231776,0.043710972346119537,0.2237442922374429,-0.2648648648648649,1.4382352941176473,1.7205882352941178,1.0961145194274027,0.835897435897436,0.6762177650429799,124,0.0,91.99999999999996,68.0,True,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
675.9999999999999,846.131714876033,622.0,383.0,301.0,235.0,120.36635613235642,132.83192006400165,140.29443519510238,130.28641923877672,159.95903725209124,128.2870468626259,0.376795838290401,-0.23781094527363184,-0.15266458220675272,1.0868167202572345,1.360340377614201,0.5665680473372782,0.7989299870399502,0.47521283546322635,68,46.0,98.0,68.0,False,True,False,True,False,False,False,1.0,6.123233995736766e-17,3
210.0,227.0,195.0,188.0,197.0,130.0,14.079141387961975,17.556258776351502,22.19609575278199,63.860960079082886,31.030450993965353,8.730533902472482,0.09397590361445783,-0.018276762402088774,-0.07582938388625593,1.0769230769230769,1.1641025641025642,0.8952380952380953,0.9251101321585903,0.07075471698113207,3,4.14,61.0,324.0,False,False,True,False,False,False,True,0.8660254037844387,-0.49999999999999983,4
383.0,394.0,331.0,504.0,280.0,181.0,23.497635814883488,33.64231792780579,26.585814931191443,17.4419672692678,42.94343825183174,57.92164247210765,-0.12249443207126949,0.20718562874251498,-0.08689655172413793,1.1570996978851964,1.190332326283988,1.3159268929503916,0.9720812182741116,0.16913946587537093,6,21.0,88.0,66.0,True,False,False,False,False,True,False,0.8660254037844387,-0.49999999999999983,4
328.00000000000006,454.99999999999983,374.00000000000006,402.9999999999999,97.0,50.0,20.552182293309784,27.825144345447608,27.848048587359298,32.21727395390249,24.952923540032486,32.22949240423002,0.06060606060606056,0.0373230373230371,-0.09770808202653773,0.877005347593583,1.2165775401069512,1.2286585365853653,0.7208791208791213,0.6485507246376812,138,7.0,92.0,68.0,True,False,False,False,False,True,False,-0.4999999999999998,-0.8660254037844388,7
333.99999999999983,560.0,485.9999999999999,273.0,85.0,53.99999999999999,25.53783808993925,26.38446365089342,39.01480288673337,14.422205101855956,23.86791435463389,23.51768089924882,0.3445378151260504,-0.28063241106719355,-0.07074569789674963,0.6872427983539092,1.152263374485597,0.8173652694610782,0.5964285714285711,0.7364341085271318,136,0.0,96.0,68.0,True,False,False,False,False,False,True,0.8660254037844387,-0.49999999999999983,4
415.00000000000006,535.0,489.9999999999999,499.0,208.00000000000003,128.0,25.320687356764783,27.26291052996089,28.955686111549472,29.97822994245807,32.236664308659265,33.65468548632538,0.03481624758220503,0.009100101112234697,-0.04390243902439035,0.8469387755102044,1.0918367346938778,1.2024096385542167,0.7757009345794393,0.44010767160161507,139,64.0,99.0,68.0,True,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
317.0,438.9999999999997,242.99999999999991,142.0,39.0,44.99999999999999,20.580070597445644,27.28792082290924,21.053327361561703,13.577663317981877,22.308003154872143,29.391180296795746,0.5111876075731494,-0.2623376623376622,-0.28739002932551305,1.3045267489711938,1.8065843621399171,0.4479495268138801,0.7220956719817773,0.8368200836820082,136,6.0,99.0,68.0,True,False,False,False,False,False,True,1.2246467991473532e-16,-1.0,6
207.00000000000003,207.0,158.0,193.00000000000003,51.0,27.999999999999993,25.329025767166847,23.1519924694076,28.249470945411563,25.921771703862525,32.17866608709436,34.48015846036987,0.03499999999999993,0.0997150997150998,-0.13424657534246576,1.3101265822784811,1.3101265822784811,0.9323671497584541,1.0000000000000002,0.6046511627906976,138,1.0,96.0,68.0,True,False,False,False,False,False,True,0.8660254037844386,0.5000000000000001,2
507.0,925.0,1057.0,701.0,189.0,82.0,12.22424225731164,25.33333333333333,43.38572331601986,67.0024875160119,58.93897241330057,54.79479113750201,0.13776137761377613,-0.2025028441410694,0.06659939455095863,0.4796594134342479,0.8751182592242195,1.3826429980276134,0.5481081081081081,0.6606822262118492,9,0.0,42.0,68.0,True,False,False,False,False,False,True,-0.4999999999999998,-0.8660254037844388,7
438.9999999999998,435.0,321.0,457.0,98.0,40.0,25.501943063225625,25.02099918068803,26.87579580217111,54.17019383387865,68.78108678990179,51.66166373627547,-0.02466367713004484,0.17480719794344474,-0.15079365079365079,1.3676012461059184,1.355140186915888,1.0410022779043286,1.00919540229885,0.6322701688555347,100,6.0,96.0,68.0,True,False,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
727.0,825.0,657.0,637.0,184.0,116.0,25.835132206595972,27.581022511288296,26.98828543909285,21.562655144620727,30.01023790450462,32.48196494833765,0.12859097127222982,-0.015455950540958269,-0.11336032388663968,1.1065449010654491,1.2557077625570776,0.8762035763411279,0.8812121212121212,0.6352824578790882,51,1.0,97.0,68.0,True,False,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
609.0,638.0,428.00000000000006,762.0,133.99999999999997,72.0,26.072960005210497,19.534600534445687,22.468315256681947,25.898770956266905,19.615837356002764,29.79117831680641,-0.08857142857142856,0.28067226890756297,-0.19699812382739207,1.422897196261682,1.4906542056074765,1.251231527093596,0.9545454545454546,0.6528497409326425,137,2.0,92.0,66.0,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
368.0,385.0,207.0,85.0,56.00000000000001,43.00000000000001,12.51640195059796,15.082997611050354,12.162904060482974,9.155659231195006,7.271513113192706,6.254840266421625,0.6382978723404256,-0.4178082191780822,-0.30067567567567566,1.7777777777777777,1.8599033816425121,0.23097826086956522,0.9558441558441558,0.746031746031746,139,2.33,99.0,324.0,False,False,True,False,False,False,True,-0.5000000000000004,0.8660254037844384,11
